make: Nothing to be done for 'build'.
Vector Length;NumGangs;Grid Size;Total Alive Cells;Total Execution Time
768;5120;2048;1562036;0.000709
768;5120;4096;6232877;0.001345
768;5120;8192;24824799;0.002624
768;5120;16384;100584758;0.006314
768;5120;32768;402481820;0.024442
768;6144;128;5902;0.000117
768;6144;256;24387;0.000161
768;6144;512;98628;0.000239
768;6144;1024;397832;0.000396
768;6144;2048;1562036;0.000713
768;6144;4096;6232877;0.001350
768;6144;8192;24824799;0.002627
768;6144;16384;100584758;0.006304
768;6144;32768;402481820;0.024459
768;7168;128;5902;0.000119
768;7168;256;24387;0.000162
768;7168;512;98628;0.000239
768;7168;1024;397832;0.000399
768;7168;2048;1562036;0.000714
768;7168;4096;6232877;0.001350
768;7168;8192;24824799;0.002632
768;7168;16384;100584758;0.006317
768;7168;32768;402481820;0.024460
768;8192;128;5902;0.000121
768;8192;256;24387;0.000166
768;8192;512;98628;0.000244
768;8192;1024;397832;0.000401
768;8192;2048;1562036;0.000716
768;8192;4096;6232877;0.001353
768;8192;8192;24824799;0.002614
768;8192;16384;100584758;0.006320
768;8192;32768;402481820;0.024484
768;9216;128;5902;0.000124
768;9216;256;24387;0.000167
768;9216;512;98628;0.000244
768;9216;1024;397832;0.000403
768;9216;2048;1562036;0.000719
768;9216;4096;6232877;0.001354
768;9216;8192;24824799;0.002614
768;9216;16384;100584758;0.006316
768;9216;32768;402481820;0.024474
768;10240;128;5902;0.000128
768;10240;256;24387;0.000170
768;10240;512;98628;0.000246
768;10240;1024;397832;0.000405
768;10240;2048;1562036;0.000722
768;10240;4096;6232877;0.001357
768;10240;8192;24824799;0.002617
768;10240;16384;100584758;0.006324
768;10240;32768;402481820;0.024474
896;1024;128;5902;0.000106
896;1024;256;24387;0.000151
896;1024;512;98628;0.000227
896;1024;1024;397832;0.000385
896;1024;2048;1562036;0.000703
896;1024;4096;6232877;0.001343
896;1024;8192;24824799;0.002634
896;1024;16384;100584758;0.006370
896;1024;32768;402481820;0.025276
896;2048;128;5902;0.000107
896;2048;256;24387;0.000152
896;2048;512;98628;0.000233
896;2048;1024;397832;0.000388
896;2048;2048;1562036;0.000705
896;2048;4096;6232877;0.001345
896;2048;8192;24824799;0.002629
896;2048;16384;100584758;0.006364
896;2048;32768;402481820;0.025272
896;3072;128;5902;0.000110
896;3072;256;24387;0.000152
896;3072;512;98628;0.000232
896;3072;1024;397832;0.000387
896;3072;2048;1562036;0.000704
896;3072;4096;6232877;0.001343
896;3072;8192;24824799;0.002615
896;3072;16384;100584758;0.006297
896;3072;32768;402481820;0.024442
896;4096;128;5902;0.000112
896;4096;256;24387;0.000155
896;4096;512;98628;0.000234
896;4096;1024;397832;0.000390
896;4096;2048;1562036;0.000706
896;4096;4096;6232877;0.001345
896;4096;8192;24824799;0.002624
896;4096;16384;100584758;0.006300
896;4096;32768;402481820;0.024440
896;5120;128;5902;0.000114
896;5120;256;24387;0.000157
896;5120;512;98628;0.000238
896;5120;1024;397832;0.000393
896;5120;2048;1562036;0.000708
896;5120;4096;6232877;0.001345
896;5120;8192;24824799;0.002607
896;5120;16384;100584758;0.006314
896;5120;32768;402481820;0.024450
896;6144;128;5902;0.000117
896;6144;256;24387;0.000161
896;6144;512;98628;0.000239
896;6144;1024;397832;0.000395
896;6144;2048;1562036;0.000712
896;6144;4096;6232877;0.001348
896;6144;8192;24824799;0.002607
896;6144;16384;100584758;0.006311
896;6144;32768;402481820;0.024455
896;7168;128;5902;0.000119
896;7168;256;24387;0.000162
896;7168;512;98628;0.000240
896;7168;1024;397832;0.000399
896;7168;2048;1562036;0.000713
896;7168;4096;6232877;0.001351
896;7168;8192;24824799;0.002609
896;7168;16384;100584758;0.006321
896;7168;32768;402481820;0.024415
896;7168;32768;402481820;0.024415
896;8192;128;5902;0.000104
896;8192;256;24387;0.000146
896;8192;512;98628;0.000226
896;8192;1024;397832;0.000382
896;8192;2048;1562036;0.000696
896;8192;4096;6232877;0.001335
896;8192;8192;24824799;0.002611
896;8192;16384;100584758;0.006281
896;8192;32768;402481820;0.024409
896;9216;128;5902;0.000106
896;9216;256;24387;0.000148
896;9216;512;98628;0.000227
896;9216;1024;397832;0.000385
896;9216;2048;1562036;0.000700
896;9216;4096;6232877;0.001335
896;9216;8192;24824799;0.002615
896;9216;16384;100584758;0.006296
896;9216;32768;402481820;0.024438
1024;1024;128;5902;0.000104
1024;1024;256;24387;0.000148
1024;1024;512;98628;0.000224
1024;1024;1024;397832;0.000385
1024;1024;2048;1562036;0.000702
1024;1024;4096;6232877;0.001338
1024;1024;8192;24824799;0.002624
1024;1024;16384;100584758;0.006347
1024;1024;32768;402481820;0.025230
1024;2048;128;5902;0.000107
1024;2048;256;24387;0.000151
1024;2048;512;98628;0.000229
1024;2048;1024;397832;0.000391
1024;2048;2048;1562036;0.000706
1024;2048;4096;6232877;0.001346
1024;2048;8192;24824799;0.002629
1024;2048;16384;100584758;0.006354
1024;2048;32768;402481820;0.025227
1024;3072;128;5902;0.000110
1024;3072;256;24387;0.000153
1024;3072;512;98628;0.000230
1024;3072;1024;397832;0.000388
1024;3072;2048;1562036;0.000706
1024;3072;4096;6232877;0.001342
1024;3072;8192;24824799;0.002623
1024;3072;16384;100584758;0.006301
1024;3072;32768;402481820;0.024448
1024;4096;128;5902;0.000113
1024;4096;256;24387;0.000157
1024;4096;512;98628;0.000235
1024;4096;1024;397832;0.000391
1024;4096;2048;1562036;0.000706
1024;4096;4096;6232877;0.001344
1024;4096;8192;24824799;0.002623
1024;4096;16384;100584758;0.006303
1024;4096;32768;402481820;0.024479
1024;5120;128;5902;0.000117
1024;5120;256;24387;0.000159
1024;5120;512;98628;0.000236
1024;5120;1024;397832;0.000396
1024;5120;2048;1562036;0.000709
1024;5120;4096;6232877;0.001347
1024;5120;8192;24824799;0.002607
1024;5120;16384;100584758;0.006313
1024;5120;32768;402481820;0.024481
1024;6144;128;5902;0.000117
1024;6144;256;24387;0.000159
1024;6144;512;98628;0.000237
1024;6144;1024;397832;0.000394
1024;6144;2048;1562036;0.000711
1024;6144;4096;6232877;0.001349
1024;6144;8192;24824799;0.002608
1024;6144;16384;100584758;0.006314
1024;6144;32768;402481820;0.024475
1024;7168;128;5902;0.000118
1024;7168;256;24387;0.000162
1024;7168;512;98628;0.000239
1024;7168;1024;397832;0.000399
1024;7168;2048;1562036;0.000716
1024;7168;4096;6232877;0.001350
1024;7168;8192;24824799;0.002612
1024;7168;16384;100584758;0.006321
1024;7168;32768;402481820;0.024478
1024;8192;128;5902;0.000121
1024;8192;256;24387;0.000166
1024;8192;512;98628;0.000243
1024;8192;1024;397832;0.000401
1024;8192;2048;1562036;0.000715
1024;8192;4096;6232877;0.001353
1024;8192;8192;24824799;0.002615
1024;8192;16384;100584758;0.006320
1024;8192;32768;402481820;0.024488
1024;9216;128;5902;0.000125
1024;9216;256;24387;0.000166
1024;9216;512;98628;0.000244
1024;9216;1024;397832;0.000403
1024;9216;2048;1562036;0.000718
1024;9216;4096;6232877;0.001357
1024;9216;8192;24824799;0.002616
1024;9216;16384;100584758;0.006329
1024;9216;32768;402481820;0.024467
1024;10240;128;5902;0.000126
1024;10240;256;24387;0.000170
1024;10240;512;98628;0.000247
1024;10240;1024;397832;0.000405
1024;10240;2048;1562036;0.000721
1024;10240;4096;6232877;0.001357
1024;10240;8192;24824799;0.002620
1024;10240;16384;100584758;0.006328
1024;10240;32768;402481820;0.024474

